State,Category Level 1,Spend Random Factor
AK,BEVERAGE,1060897.0630630641
AK,CHEMICALS AND CLEANING,772448.3468468466
AK,CLOTHING AND FOOTWEAR,58381.9504504504
AK,DISPOSABLES,930935.2792792793
AK,FOOD,7104351.283783783
AK,FOOD SERVICE EQUIPMENT AND SUPPLIES,202072.99549549542
AK,FURNITURE FIXTURES AND EQUIPMENT,145543.27477477482
AK,GOLF EQUIPMENT AND SUPPLIES,3320.5180180180396
AK,MAINTENANCE AND ENGINEERING,1143493.8513513515
AK,MEDICAL,3588.77477477476
AK,POOL EQUIPMENT AND SUPPLIES,7646.76126126127
AK,RETAIL AND PROMOTIONAL,150640.1531531532
AK,ROOM AND SPA,532706.0810810812
AL,BEVERAGE,8448798.54947297
AL,CHEMICALS AND CLEANING,5063630.040540541
AL,CLOTHING AND FOOTWEAR,1433706.2162162166
AL,DISPOSABLES,6862118.229729729
AL,FOOD,57635818.84684685
AL,FOOD SERVICE EQUIPMENT AND SUPPLIES,2271660.2837837837
AL,FURNITURE FIXTURES AND EQUIPMENT,1145963.4999999998
AL,GOLF EQUIPMENT AND SUPPLIES,901314.4459459463
AL,MAINTENANCE AND ENGINEERING,6081831.936936936
AL,MEDICAL,510332.8468468472
AL,POOL EQUIPMENT AND SUPPLIES,73124.29279279284
AL,RETAIL AND PROMOTIONAL,172897.4234234234
AL,ROOM AND SPA,4139517.9144144156
AR,BEVERAGE,4192142.937878378
AR,CHEMICALS AND CLEANING,1464643.567567567
AR,CLOTHING AND FOOTWEAR,640915.9684684686
AR,DISPOSABLES,3349007.558558559
AR,FOOD,25796948.126126125
AR,FOOD SERVICE EQUIPMENT AND SUPPLIES,980344.981981982
AR,FURNITURE FIXTURES AND EQUIPMENT,226370.9594594593
AR,GOLF EQUIPMENT AND SUPPLIES,502137.4819819821
AR,MAINTENANCE AND ENGINEERING,1149731.9774774774
AR,MEDICAL,86163.84684684678
AR,POOL EQUIPMENT AND SUPPLIES,13156.73873873867
AR,RETAIL AND PROMOTIONAL,26477.80180180183
AR,ROOM AND SPA,1086195.5675675683
AZ,BEVERAGE,16163109.55658559
AZ,CHEMICALS AND CLEANING,11628087.178270273
AZ,CLOTHING AND FOOTWEAR,1439278.1801801804
AZ,DISPOSABLES,11239192.569360357
AZ,FOOD,102349506.37131533
AZ,FOOD SERVICE EQUIPMENT AND SUPPLIES,4069909.3956306307
AZ,FURNITURE FIXTURES AND EQUIPMENT,1550875.6287117111
AZ,GOLF EQUIPMENT AND SUPPLIES,1568957.1486486488
AZ,MAINTENANCE AND ENGINEERING,8335894.472995496
AZ,MEDICAL,417378.9190315312
AZ,POOL EQUIPMENT AND SUPPLIES,195175.27027027024
AZ,RETAIL AND PROMOTIONAL,791553.198198198
AZ,ROOM AND SPA,4916607.653752254
CA,BEVERAGE,74404153.19281082
CA,CHEMICALS AND CLEANING,51502631.83783784
CA,CLOTHING AND FOOTWEAR,7444829.5405405415
CA,DISPOSABLES,54250737.22972972
CA,FOOD,554277354.7522522
CA,FOOD SERVICE EQUIPMENT AND SUPPLIES,22589789.953531533
CA,FURNITURE FIXTURES AND EQUIPMENT,8339671.229729732
CA,GOLF EQUIPMENT AND SUPPLIES,9458398.810810812
CA,MAINTENANCE AND ENGINEERING,47068625.15765766
CA,MEDICAL,4728429.234234233
CA,POOL EQUIPMENT AND SUPPLIES,928673.8558558553
CA,RETAIL AND PROMOTIONAL,2024009.3333333333
CA,ROOM AND SPA,32482649.27477478
