State,Year Month,Spend Random Factor
AK,202501,797608.1621621622
AK,202502,622529.7747747749
AK,202503,809943.7297297297
AK,202504,1018921.1756756759
AK,202505,1135660.2612612608
AK,202506,1403914.3333333335
AK,202507,1522632.5675675676
AK,202508,1433278.0990990992
AK,202509,980041.4189189192
AK,202510,954238.3513513515
AK,202511,698421.1711711711
AK,202512,738837.2882882886
AL,202501,7602675.640391891
AL,202502,8703413.454954954
AL,202503,8398405.45945946
AL,202504,9270680.045274774
AL,202505,6173616.923423423
AL,202506,5102322.882882882
AL,202507,5614731.234797299
AL,202508,9220762.018018017
AL,202509,10188768.288288288
AL,202510,10951918.908288289
AL,202511,7400036.50900901
AL,202512,6113383.162162162
AR,202501,3390600.4970540544
AR,202502,3285736.6216216213
AR,202503,3308979.153554054
AR,202504,3995730.986486487
AR,202505,2974924.2387387375
AR,202506,2337505.3468468464
AR,202507,2206371.3648648653
AR,202508,3830998.0948243244
AR,202509,4233422.806306306
AR,202510,4449289.081081081
AR,202511,2923466.9054054054
AR,202512,2577212.4176711715
AZ,202501,14878527.98192793
AZ,202502,14436929.56091892
AZ,202503,14593444.544716217
AZ,202504,16112566.46028829
AZ,202505,12615465.729684686
AZ,202506,9394607.780639641
AZ,202507,11099842.316270271
AZ,202508,14121572.294225227
AZ,202509,15009357.901720723
AZ,202510,16773742.224328829
AZ,202511,13254773.654144144
AZ,202512,12374695.094085587
CA,202501,73284649.20005405
CA,202502,69584756.0629009
CA,202503,78229189.83507657
CA,202504,81736388.42452252
CA,202505,81285477.76063064
CA,202506,60887711.18735585
CA,202507,63228162.56354955
CA,202508,79980476.66567117
CA,202509,74543645.77430631
CA,202510,80821312.9811982
CA,202511,61513517.19910361
CA,202512,64404665.748729736
CO,202501,10891902.550630633
CO,202502,10386195.672229731
CO,202503,11303464.85954054
CO,202504,11555533.015585586
CO,202505,11025258.140981983
CO,202506,12375754.756063066
CO,202507,13888222.090576578
CO,202508,14164530.574549552
CO,202509,13697966.19568919
CO,202510,13301033.346256759
CO,202511,10024975.964711713
CO,202512,12185154.429801803
CT,202501,4317289.229729731
CT,202502,4825351.905405405
CT,202503,5023734.513513514
CT,202504,5164762.369369369
CT,202505,4091842.5000000005
CT,202506,4733777.752252253
CT,202507,5323532.936936937
CT,202508,4354883.126126126
CT,202509,4988434.932432433
CT,202510,5490558.567567568
CT,202511,4607628.923423423
CT,202512,4206343.716216216
DC,202501,5496782.086927927
DC,202502,4658901.540986487
DC,202503,5321596.134581082
DC,202504,5639410.534765766
